Navn;Stasjon;Tid(norsk normaltid);Maksimumstemperatur (døgn)
Trondheim - Voll;SN68860;18.10.2016;13,4
Stavanger - Våland;SN44640;18.10.2016;13,5
Bergen - Florida;SN50540;18.10.2016;15,1
Bjørnholt;SN18500;19.10.2016;5,9
Oslo - Blindern;SN18700;19.10.2016;8,6
Trondheim - Voll;SN68860;19.10.2016;9,7
Stavanger - Våland;SN44640;19.10.2016;13,8
Bergen - Florida;SN50540;19.10.2016;15,7
Bjørnholt;SN18500;20.10.2016;5,3
Oslo - Blindern;SN18700;20.10.2016;8,3
Trondheim - Voll;SN68860;20.10.2016;11,4
Stavanger - Våland;SN44640;20.10.2016;12,8
Bergen - Florida;SN50540;20.10.2016;13
Bjørnholt;SN18500;21.10.2016;3,8
Oslo - Blindern;SN18700;21.10.2016;6,5
Trondheim - Voll;SN68860;21.10.2016;7,4
Stavanger - Våland;SN44640;21.10.2016;10,6
Bergen - Florida;SN50540;21.10.2016;11,1
Bjørnholt;SN18500;22.10.2016;2,3
Oslo - Blindern;SN18700;22.10.2016;5,4
Trondheim - Voll;SN68860;22.10.2016;6,4
Stavanger - Våland;SN44640;22.10.2016;10
Bergen - Florida;SN50540;22.10.2016;12
Bjørnholt;SN18500;23.10.2016;1,7
Oslo - Blindern;SN18700;23.10.2016;4,9
Trondheim - Voll;SN68860;23.10.2016;6
Stavanger - Våland;SN44640;23.10.2016;8,1
Bergen - Florida;SN50540;23.10.2016;10,7
Bjørnholt;SN18500;24.10.2016;3,9
Oslo - Blindern;SN18700;24.10.2016;6,6
Trondheim - Voll;SN68860;24.10.2016;8,3
Stavanger - Våland;SN44640;24.10.2016;11,5
Bergen - Florida;SN50540;24.10.2016;13,5
Bjørnholt;SN18500;25.10.2016;4,5
Oslo - Blindern;SN18700;25.10.2016;7
Oslo - Hovin;SN18210;25.10.2016;7,9
Trondheim - Voll;SN68860;25.10.2016;7,1
Stavanger - Våland;SN44640;25.10.2016;10,9
Bergen - Florida;SN50540;25.10.2016;11,7
Bjørnholt;SN18500;26.10.2016;5,9
Oslo - Blindern;SN18700;26.10.2016;7,7
Oslo - Hovin;SN18210;26.10.2016;8,8
Trondheim - Voll;SN68860;26.10.2016;8
Stavanger - Våland;SN44640;26.10.2016;10,8
Bergen - Florida;SN50540;26.10.2016;11,3
Bjørnholt;SN18500;27.10.2016;7,2
Oslo - Blindern;SN18700;27.10.2016;9,4
Oslo - Hovin;SN18210;27.10.2016;10,8
Trondheim - Voll;SN68860;27.10.2016;11,6
Stavanger - Våland;SN44640;27.10.2016;11
Bergen - Florida;SN50540;27.10.2016;11,3
Bjørnholt;SN18500;28.10.2016;8,1
Oslo - Blindern;SN18700;28.10.2016;11,1
Oslo - Hovin;SN18210;28.10.2016;12,1
Trondheim - Voll;SN68860;28.10.2016;7,3
Stavanger - Våland;SN44640;28.10.2016;11,5
Bergen - Florida;SN50540;28.10.2016;11,2
Bjørnholt;SN18500;29.10.2016;4,3
Oslo - Blindern;SN18700;29.10.2016;10,9
Oslo - Hovin;SN18210;29.10.2016;12,3
Trondheim - Voll;SN68860;29.10.2016;7,9
Stavanger - Våland;SN44640;29.10.2016;9,6
